codigo_clase,clase,codigo_seccion,seccion,codigo_division,gsectores,gsectores_label,total_plazas_equiv,n_establecimientos,n_matrices,n_provincias_present,n_cantones_present,effnum_industry_prov,effnum_industry_canton,ren_prov_pop,ren_prov_con,ren_canton_pop,ren_canton_con,tradable_prov_pop,tradable_prov_con,tradable_canton_pop,tradable_canton_con,tradability_pctile
I5630,Actividades de servicio de bebidas.,I,Actividades de alojamiento y de servicio de comidas.,I56,6,Servicios,4143.083333333334,4784,3339,24,211,3.5813841793332517,5.2816670784148005,0.451055658616346,0.7135951574310716,0.3098632796900442,0.730512761862605,True,True,True,True,0.3708133971291866
H5310,Actividades postales.,H,Transporte y almacenamiento.,H53,6,Servicios,4496.916666666667,3291,1483,24,181,3.5959397684212386,4.045816875714901,0.45288885508281757,0.7164953762756966,0.23735878606544206,0.5595810595384736,True,True,True,True,0.3684210526315789
G4662,Venta al por mayor de metales y minerales metalíferos.,G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G46,4,Comercio,4029.166666666668,649,418,23,85,3.6021898638141883,4.109677443580985,0.4536760202549178,0.7177407153911225,0.24110533894506667,0.5684136798292566,True,True,True,True,0.3660287081339713
P8541,Enseñanza deportiva y recreativa.,P,Enseñanza.,P85,6,Servicios,632.0,1223,1067,24,122,3.6236493781015557,4.375113034609586,0.45637872816498554,0.7220165497360262,0.25667783557567087,0.6051263472162994,True,True,True,True,0.36363636363636365
H5320,Actividades de mensajería.,H,Transporte y almacenamiento.,H53,6,Servicios,2260.750000000001,1936,821,24,164,3.628117492198463,4.192980013376035,0.456941462584371,0.7229068269089701,0.24599250943500411,0.5799353432411615,True,True,True,True,0.361244019138756
S9411,Actividades de asociaciones empresariales y de empleadores.,S,Otras actividades de servicios.,S94,6,Servicios,2835.1666666666665,1500,1382,24,157,3.64039028020957,5.458280684932135,0.45848715279860525,0.725352194860122,0.3202247944430288,0.7549403699575508,True,True,True,True,0.3588516746411483
G4540,"Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios.",G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G45,4,Comercio,10036.66666666667,5195,3337,24,206,3.665710840907892,3.953666723247479,0.46167613828869114,0.7303973474025466,0.2319525482159972,0.5468356779410328,True,True,True,True,0.35645933014354064
A0150,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).,A,"Agricultura, ganadería,  silvicultura y pesca.",A01,1,"Agricultura, ganadería, silvicultura y pesca",9121.416666666666,1488,1088,23,160,3.6682325211112534,4.571091639662571,0.46199373005433036,0.7308997952527639,0.26817545032669826,0.6322323480144801,True,True,True,True,0.35406698564593303
S9522,Reparación de aparatos de uso doméstico y equipo doméstico y de jardinería.,S,Otras actividades de servicios.,S95,6,Servicios,1585.8333333333337,2232,2004,24,132,3.6712987188462503,4.280132119055597,0.46237990081109753,0.731510738884013,0.25110552335595493,0.5919894398884699,True,True,True,True,0.35167464114832536
M7500,Actividades veterinarias.,M,"Actividades profesionales, científicas y técnicas.",M75,6,Servicios,2536.7499999999995,1772,1466,24,132,3.712228065786702,4.646296787998699,0.4675347271621759,0.7396659610861058,0.272587563692996,0.6426340488035803,True,True,True,True,0.3492822966507177
R9102,Actividades de museos y gestión de lugares y edificios históricos.,R,"Artes, entretenimiento y recreación.",R91,6,Servicios,211.41666666666666,76,57,16,26,3.716957443970197,3.7661278572745136,0.46813036635768923,0.7406082954463449,0.22095007357740717,0.5208969860650561,True,True,True,True,0.34688995215311
C2822,Fabricación de maquinaria para la conformación de metales y de máquinas herramienta.,C,Industrias manufactureras.,C28,3,Industrias manufactureras,85.66666666666669,48,40,11,16,3.747035797356325,3.9097864531691617,0.47191856969397605,0.746601443973582,0.2293781935286826,0.5407665530207607,True,True,True,True,0.3444976076555024
G4669,"Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.",G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G46,4,Comercio,17909.416666666664,7875,5951,24,194,3.7505084558343302,5.193081888526944,0.47235593194792946,0.7472933754026693,0.3046661900092506,0.7182604538764448,True,True,True,True,0.34210526315789475
X9900,Actividades No Válidas.,X,Actividades No Válidas,X99, ,Otros / No clasificado,41.66666666666666,46,33,16,21,3.7537537537537533,4.173344017094018,0.47276465938881634,0.747940004963688,0.24484051062144893,0.5772194685631602,True,True,True,True,0.3397129186602871
Q8710,Actividades de atención de enfermería en instituciones.,Q,Actividades de atención de la salud humana y de asistencia social.,Q87,6,Servicios,1643.666666666666,238,107,17,36,3.7623878980361956,3.851385126300221,0.4738520824188222,0.7496603687225012,0.22595192178281337,0.5326890059216968,True,True,True,True,0.3373205741626794
N8020,Actividades de servicios de sistemas de seguridad.,N,Actividades de servicios administrativos y de apoyo.,N80,6,Servicios,4593.000000000002,1011,848,24,88,3.7705005331436032,4.025073450746053,0.47487382423378915,0.7512768211433439,0.23614181695371592,0.5567120152690209,True,True,True,True,0.3349282296650718
N8230,Organización de convenciones y exposiciones comerciales.,N,Actividades de servicios administrativos y de apoyo.,N82,6,Servicios,3795.333333333334,4590,3744,24,185,3.8374683891007066,4.6403568852305455,0.48330805772070856,0.764620247964263,0.2722390832368344,0.6418124947919516,True,True,True,True,0.33253588516746413
S9523,Reparación de calzado y artículos de cuero.,S,Otras actividades de servicios.,S95,6,Servicios,311.6666666666667,508,453,24,78,3.8576181587923557,4.982030980086264,0.48584581049565,0.7686351141040886,0.2922843178275946,0.689069787420261,True,True,True,True,0.33014354066985646
