codigo_clase,display_code,class_name,class_name_es,codigo_seccion,codigo_division,sector,gsector,gsector_label,plazas_equiv_estab_nat,fte_share_nat,plazas_equiv_estab_nat_pctile,n_estab_nat,wage_per_fte,wage_premium,wage_per_fte_pctile,wage_per_fte_pctile_gsector,fte_per_firm,fte_per_firm_premium,fte_per_firm_pctile,fte_per_firm_pctile_gsector,n_firms,quadrant
4774,G4774,Retail sale of second-hand goods,Venta Al Por Menor De Artículos De Segunda Mano En Comercios Especializados.,G,47,Terciario,4,Comercio,193.99999999999994,6.622723041434657e-05,17.233009708737864,323,5741.570294820717,0.57943898944281,6.65024630541872,6.976744186046512,1.3072916666666667,0.23733886368622004,3.9408866995073892,6.976744186046512,80.0,"few jobs, poorly paid"
4781,G4781,"Retail sale via stalls and markets of food, beverages and tobacco products","Venta Al Por Menor De Alimentos, Bebidas Y Tabaco En Puestos De Venta Y Mercados.",G,47,Terciario,4,Comercio,1053.083333333333,0.0003594989307328598,42.961165048543684,293,5949.237270262128,0.6003967303066573,11.330049261083744,13.953488372093023,1.6916411824668705,0.30711753639126743,9.113300492610838,11.627906976744185,327.0,"few jobs, poorly paid"
4782,G4782,"Retail sale via stalls and markets of textiles, clothing and footwear","Venta Al Por Menor De Productos Textiles, Prendas De Vestir Y Calzado En Puestos De Venta Y Mercados.",G,47,Terciario,4,Comercio,1920.916666666667,0.0006557576839695462,52.66990291262136,2513,6267.552453673527,0.6325210828320605,17.48768472906404,18.6046511627907,1.8152467883705203,0.3295581399676835,10.83743842364532,13.953488372093023,493.0,"few jobs, poorly paid"
4789,G4789,Retail sale via stalls and markets of other goods,Venta Al Por Menor De Otros Productos En Puestos De Venta Y Mercados.,G,47,Terciario,4,Comercio,161.08333333333334,5.499022181741064e-05,15.291262135922329,165,5797.899638386648,0.5851237440022486,7.635467980295567,9.30232558139535,2.0660919540229887,0.3750990916123472,16.00985221674877,23.25581395348837,29.0,"few jobs, poorly paid"
4791,G4791,Retail sale via mail order houses or via Internet,Venta Al Por Menor Por Correo Y Por Internet.,G,47,Terciario,4,Comercio,1592.1666666666667,0.0005435298386153376,49.51456310679612,2214,10429.710774652163,1.0525658941939233,68.96551724137932,83.72093023255815,2.642742453436096,0.4797900169540255,25.615763546798032,44.18604651162791,519.0,"few jobs, well paid"
4799,G4799,"Other retail sale not in stores, stalls or markets","Otras Actividades De Venta Al Por Menor No Realizadas En Comercios, Puestos De Venta O Mercados.",G,47,Terciario,4,Comercio,10770.166666666666,0.003676692316671384,84.22330097087378,12962,5668.9775059636995,0.5721129287910595,5.665024630541872,4.651162790697675,1.2173821548821548,0.22101578758497853,3.201970443349754,4.651162790697675,5940.0,"few jobs, poorly paid"
4911,H4911,"Passenger rail transport, interurban",Transporte Interurbano De Pasajeros Por Ferrocarril.,H,49,Terciario,6,Servicios,3.66666666666667,1.2517174133295758e-06,1.4563106796116505,6,,,,,,,,,,
4912,H4912,Freight rail transport,Transporte De Carga Por Ferrocarril.,H,49,Terciario,6,Servicios,8.33333333333333,2.84481230302176e-06,2.1844660194174756,6,4887.654683544306,0.49326186829639146,0.9852216748768473,0.5882352941176471,1.316666666666666,0.23904089537799358,4.1871921182266005,5.294117647058823,5.0,"few jobs, poorly paid"
4921,H4921,Urban and suburban passenger land transport,Transporte Urbano Y Suburbano De Pasajeros Por Vía Terrestre.,H,49,Terciario,6,Servicios,16511.75,0.005636739545330347,88.59223300970875,14078,6753.739241088403,0.6815870293091503,27.586206896551722,22.35294117647059,2.014447057146929,0.36572295815086053,15.270935960591133,20.0,9356.0,"few jobs, poorly paid"
4922,H4922,Other passenger land transport,Otras Actividades De Transporte De Pasajeros Por Vía Terrestre.,H,49,Terciario,6,Servicios,21183.083333333332,0.007231427529912225,91.2621359223301,51148,5598.879147213818,0.5650386059020285,3.6945812807881775,4.117647058823529,1.1077446906740536,0.20111110079160338,2.2167487684729066,2.3529411764705883,18772.0,"few jobs, poorly paid"
