hs_code,export_value,import_value,national_export_share,year
852580,1037947,25036057,3.0069898784224485e-05,2024
840999,1031257,166918885,2.9876085783303953e-05,2024
380992,1021457,12573670,2.9592174361925598e-05,2024
482010,1014897,3551240,2.940212753292131e-05,2024
300440,989558,11655340,2.8668042685339052e-05,2024
210220,989121,1819434,2.8655382553589832e-05,2024
720449,977977,38462159,2.833253470870816e-05,2024
330210,971133,27072609,2.8134260242594542e-05,2024
220110,969777,236785,2.80949761724528e-05,2024
902230,968634,1829510,2.8061862830143062e-05,2024
630532,963933,308465,2.7925672259541055e-05,2024
611212,963363,458307,2.790915904421599e-05,2024
730799,959619,9481645,2.7800693293028175e-05,2024
841780,946442,839501,2.7418948313487094e-05,2024
391610,912626,283083,2.6439280086412558e-05,2024
180610,907600,139734,2.6293674086019944e-05,2024
760320,900125,37107,2.6077119200835944e-05,2024
381600,898384,3476132,2.6026681467711482e-05,2024
380893,886844,59019852,2.5692361283761866e-05,2024
121221,879302,114928,2.547386537151334e-05,2024
030614,871028,0,2.5234163014321045e-05,2024
330510,861124,24479519,2.4947238655409695e-05,2024
870323,858795,256269181,2.487976623700253e-05,2024
850153,857144,11658862,2.483193585366624e-05,2024
030431,857138,0,2.4831762030347027e-05,2024
310100,853633,7833942,2.4730220241374463e-05,2024
300210,852619,99709851,2.4700844100427763e-05,2024
071021,851778,570957,2.4676479865184988e-05,2024
320910,849823,5528903,2.4619842433675325e-05,2024
030462,848945,1455555,2.4594406287964083e-05,2024
060120,848776,11590,2.4589510264472966e-05,2024
850422,845883,2082279,2.4505698454059946e-05,2024
391390,838983,5586193,2.4305801636967024e-05,2024
151211,838749,64904534,2.4299022527517783e-05,2024
281121,837158,946031,2.4252930377373607e-05,2024
740321,828853,123693,2.401232993303205e-05,2024
611011,827557,190974,2.3974784096082423e-05,2024
880529,820805,99993,2.3779174920863375e-05,2024
390690,820401,23808098,2.376747081736982e-05,2024
210500,816516,960632,2.3654920218180543e-05,2024
790310,815787,62686,2.3633800684896378e-05,2024
320120,815637,81911,2.3629455101916097e-05,2024
262019,804583,4148,2.330921460682259e-05,2024
790390,802775,9768,2.3256835846633605e-05,2024
070390,799963,0,2.317537065102994e-05,2024
290613,798033,37411593,2.3119457483350322e-05,2024
560313,796292,3967550,2.306901975022586e-05,2024
392390,793428,7043876,2.2986048085855698e-05,2024
848340,792761,11881229,2.296672472687005e-05,2024
170113,792533,170666,2.296011944074002e-05,2024
081110,791860,130865,2.2940622258435162e-05,2024
293627,790023,4548267,2.2887403352203322e-05,2024
850434,787410,1544972,2.2811703296686827e-05,2024
200190,786587,1288964,2.2787860531401684e-05,2024
843069,785374,495295,2.2752719250367813e-05,2024
854231,774201,6964673,2.2429031259443284e-05,2024
110100,773215,530078,2.2400466293986237e-05,2024
890400,768074,9237990,2.225152867997541e-05,2024
841931,762612,1247734,2.209329151838678e-05,2024
030819,755058,0,2.187444795949983e-05,2024
847130,747544,172120120,2.165676322274096e-05,2024
392113,745018,2960499,2.1583583605353026e-05,2024
030229,740383,0,2.1449305091262344e-05,2024
902690,739027,4689319,2.1410021021120605e-05,2024
902790,737671,8334483,2.1370736950978866e-05,2024
950890,723289,794671,2.0954082454829527e-05,2024
620293,723002,1946184,2.094576790606059e-05,2024
380899,719287,9600434,2.0838142300915632e-05,2024
721391,717925,18638080,2.079868440745468e-05,2024
300290,713146,19762357,2.066023413370293e-05,2024
852352,711875,5075122,2.0623412560583348e-05,2024
940389,710926,2349728,2.059591950559477e-05,2024
851769,707553,6880843,2.0498201829644854e-05,2024
151800,704928,4377500,2.0422154127489937e-05,2024
853720,703384,23892787,2.0377423593346246e-05,2024
200710,701664,1873476,2.0327594241839025e-05,2024
040610,691997,112451,2.0047535904036516e-05,2024
850440,690324,69807800,1.9999068168529784e-05,2024
761010,689108,777024,1.9963839975836304e-05,2024
841121,687148,1904320,1.9907057691560636e-05,2024
382100,683351,4027146,1.9797056501053124e-05,2024
901850,680443,7144393,1.9712810132342077e-05,2024
550932,678977,1533075,1.967033930134813e-05,2024
480411,677544,195803493,1.9628824498609847e-05,2024
262011,677190,0,1.9618568922776383e-05,2024
090240,676371,69621,1.959484203970405e-05,2024
480525,674620,14153977,1.954411460104757e-05,2024
521143,671388,37078,1.9450481773099115e-05,2024
731300,671205,294315,1.9445180161863175e-05,2024
