codigo_clase,class_name,sector,phi_mass,phi_mass_noself,n_neighbors_pos
3320,Installation of industrial machinery and equipment,Secundario,1.215383,0.215383,64
3510,"Electric power generation, transmission and distribution",Secundario,1.318184,0.318184,66
3520,Manufacture of gas; distribution of gaseous fuels through mains,Secundario,1.154522,0.154522,54
3530,Steam and air conditioning supply,Secundario,1.238481,0.238481,58
3600,"Water collection, treatment and supply",Secundario,1.640656,0.640656,90
3700,Sewerage,Secundario,1.371663,0.371663,66
3811,Collection of non-hazardous waste,Secundario,1.364125,0.364125,68
3812,Collection of hazardous waste,Secundario,1.242939,0.242939,29
3821,Treatment and disposal of non-hazardous waste,Secundario,1.503073,0.503073,56
3822,Treatment and disposal of hazardous waste,Secundario,1.080617,0.080617,15
3830,Materials recovery,Secundario,1.335083,0.335083,54
3900,Remediation activities and other waste management services,Secundario,1.074022,0.074022,11
4100,Construction of buildings,Secundario,1.893614,0.893614,242
4210,Construction of roads and railways,Secundario,1.705044,0.705044,151
4220,Construction of utility projects,Secundario,1.684261,0.684261,142
4290,Construction of other civil engineering projects,Secundario,1.471803,0.471803,81
4311,Demolition,Secundario,1.051068,0.051068,16
4312,Site preparation,Secundario,1.469528,0.469528,112
4321,Electrical installation,Secundario,1.710257,0.710257,167
4322,"Plumbing, heat and air-conditioning installation",Secundario,1.529502,0.529502,136
4329,Other construction installation,Secundario,1.243627,0.243627,55
4330,Building completion and finishing,Secundario,1.613108,0.613108,166
4390,Other specialized construction activities,Secundario,1.644439,0.644439,177
4510,Sale of motor vehicles,Terciario,1.53077,0.53077,145
4520,Maintenance and repair of motor vehicles,Terciario,1.907165,0.907165,240
4530,Sale of motor vehicle parts and accessories,Terciario,1.99441,0.99441,245
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",Terciario,1.710623,0.710623,172
4610,Wholesale on a fee or contract basis,Terciario,1.579821,0.579821,189
4620,Wholesale of agricultural raw materials and live animals,Terciario,1.815077,0.815077,212
4630,"Wholesale of food, beverages and tobacco",Terciario,2.106178,1.106178,283
4641,"Wholesale of textiles, clothing and footwear",Terciario,1.892888,0.892888,209
4649,Wholesale of other household goods,Terciario,2.375232,1.375232,303
4651,"Wholesale of computers, computer peripheral equipment and software",Terciario,1.813654,0.813654,185
4652,Wholesale of electronic and telecommunications equipment and parts,Terciario,1.567377,0.567377,125
4653,"Wholesale of agricultural machinery, equipment and supplies",Terciario,1.448411,0.448411,116
4659,Wholesale of other machinery and equipment,Terciario,2.124259,1.124259,279
4661,"Wholesale of solid, liquid and gaseous fuels and related products",Terciario,1.450819,0.450819,116
4662,Wholesale of metals and metal ores,Terciario,1.418137,0.418137,91
4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",Terciario,2.069971,1.069971,276
4669,Wholesale of waste and scrap and other products n.e.c.,Terciario,1.910693,0.910693,253
4690,Non-specialized wholesale trade,Terciario,2.205543,1.205543,310
4711,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",Terciario,2.136831,1.136831,286
4719,Other retail sale in non-specialized stores,Terciario,1.85321,0.85321,224
4721,Retail sale of food in specialized stores,Terciario,1.988898,0.988898,261
4722,Retail sale of beverages in specialized stores,Terciario,1.848101,0.848101,223
4723,Retail sale of tobacco products in specialized stores,Terciario,1.078976,0.078976,37
4730,Retail sale of automotive fuel in specialized stores,Terciario,1.839019,0.839019,219
4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",Terciario,2.074907,1.074907,236
4742,Retail sale of audio and video equipment in specialized stores,Terciario,1.491505,0.491505,143
4751,Retail sale of textiles in specialized stores,Terciario,1.402637,0.402637,117
4752,"Retail sale of hardware, paints and glass in specialized stores",Terciario,2.019081,1.019081,270
4753,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",Terciario,1.273288,0.273288,80
4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",Terciario,2.099357,1.099357,259
4761,"Retail sale of books, newspapers and stationary in specialized stores",Terciario,1.860997,0.860997,220
4762,Retail sale of music and video recordings in specialized stores,Terciario,1.001305,0.001305,5
4763,Retail sale of sporting equipment in specialized stores,Terciario,1.432556,0.432556,116
4764,Retail sale of games and toys in specialized stores,Terciario,1.232507,0.232507,83
4771,"Retail sale of clothing, footwear and leather articles in specialized stores",Terciario,2.073722,1.073722,248
4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",Terciario,2.170838,1.170838,262
4773,Other retail sale of new goods in specialized stores,Terciario,2.02033,1.02033,263
4774,Retail sale of second-hand goods,Terciario,1.151801,0.151801,57
4781,"Retail sale via stalls and markets of food, beverages and tobacco products",Terciario,1.22296,0.22296,84
4782,"Retail sale via stalls and markets of textiles, clothing and footwear",Terciario,1.367248,0.367248,113
4789,Retail sale via stalls and markets of other goods,Terciario,1.141796,0.141796,60
4791,Retail sale via mail order houses or via Internet,Terciario,1.361537,0.361537,124
4799,"Other retail sale not in stores, stalls or markets",Terciario,1.992762,0.992762,243
4911,"Passenger rail transport, interurban",Terciario,1.032823,0.032823,11
4912,Freight rail transport,Terciario,1.000088,8.8e-05,1
4921,Urban and suburban passenger land transport,Terciario,1.960559,0.960559,229
4922,Other passenger land transport,Terciario,2.157815,1.157815,301
4923,Freight transport by road,Terciario,2.317671,1.317671,337
4930,Transport via pipeline,Terciario,1.23376,0.23376,29
5011,Sea and coastal passenger water transport,Terciario,1.37378,0.37378,56
5012,Sea and coastal freight water transport,Terciario,1.481887,0.481887,71
5021,Inland passenger water transport,Terciario,1.252358,0.252358,40
5022,Inland freight water transport,Terciario,1.38239,0.38239,50
5110,Passenger air transport,Terciario,1.922208,0.922208,59
5120,Freight air transport,Terciario,1.708084,0.708084,32
5210,Warehousing and storage,Terciario,2.028162,1.028162,242
5221,Service activities incidental to land transportation,Terciario,1.512166,0.512166,155
5222,Service activities incidental to water transportation,Terciario,1.212429,0.212429,26
5223,Service activities incidental to air transportation,Terciario,1.468041,0.468041,33
5224,Cargo handling,Terciario,1.358291,0.358291,100
5229,Other transportation support activities,Terciario,1.59837,0.59837,180
5310,Postal activities,Terciario,1.422121,0.422121,119
5320,Courier activities,Terciario,1.370951,0.370951,103
5510,Short term accommodation activities,Terciario,1.882995,0.882995,243
5520,"Camping grounds, recreational vehicle parks and trailer parks",Terciario,1.129193,0.129193,39
5590,Other accommodation,Terciario,1.271405,0.271405,56
5610,Restaurants and mobile food service activities,Terciario,2.23804,1.23804,327
5621,Event catering,Terciario,1.485345,0.485345,156
5629,Other food service activities,Terciario,1.364087,0.364087,118
5630,Beverage serving activities,Terciario,1.616901,0.616901,182
5811,Book publishing,Terciario,1.204199,0.204199,57
5813,"Publishing of newspapers, journals and periodicals",Terciario,1.232503,0.232503,45
5819,Other publishing activities,Terciario,1.104819,0.104819,33
5820,Software publishing,Terciario,1.155647,0.155647,49
5911,"Motion picture, video and television programme production activities",Terciario,1.242301,0.242301,76
5912,"Motion picture, video and television programme post-production activities",Terciario,1.03744,0.03744,15
5913,"Motion picture, video and television programme distribution activities",Terciario,1.127077,0.127077,6
5914,Motion picture projection activities,Terciario,1.277983,0.277983,40
5920,Sound recording and music publishing activities,Terciario,1.195473,0.195473,63
6010,Radio broadcasting,Terciario,1.561678,0.561678,92
6020,Television programming and broadcasting activities,Terciario,1.243458,0.243458,39
6110,Wired telecommunications activities,Terciario,1.705529,0.705529,99
6120,Wireless telecommunications activities,Terciario,1.693646,0.693646,120
