hs_edition,hs_code,description,parent_code
1992,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",0402
1992,040229,"Dairy produce; milk and cream, containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",0402
1992,040291,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",0402
1992,040299,"Dairy produce; milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",0402
1992,040310,"Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa",0403
1992,040390,"Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit or cocoa (excluding yoghurt)",0403
1992,040410,"Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter",0404
1992,040490,"Dairy produce; natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.s. in chapter 04",0404
1992,040500,Dairy produce; butter and other fats and oils derived from milk,0405
1992,040610,"Dairy produce; fresh cheese (including whey cheese), not fermented, and curd",0406
1992,040620,"Dairy produce; cheese of all kinds, grated or powdered",0406
1992,040630,"Dairy produce; cheese, processed (not grated or powdered)",0406
1992,040640,"Dairy produce; cheese, blue-veined (not grated, powdered or processed)",0406
1992,040690,"Dairy produce; cheese (not grated, powdered or processed), n.e.s. in heading no. 0406",0406
1992,040700,"Eggs; birds' eggs, in the shell, fresh, preserved or cooked",0407
1992,040811,"Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter",0408
1992,040819,"Eggs; birds' eggs, yolks, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",0408
1992,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",0408
1992,040899,"Eggs; birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter",0408
1992,040900,Honey; natural,0409
1992,041000,"Animal products; edible, n.e.s. in this or other chapters",0410
1992,050100,"Animal products; hair, human, unworked, whether or not washed or scoured, and waste of human hair",0501
1992,050210,"Animal products; hair and bristles, of pigs, hogs or boars, and waste thereof",0502
1992,050290,"Animal products; badger hair and other brush making hair and waste of such bristles or hair, n.e.s. in heading no. 0502 (excluding horsehair)",0502
1992,050300,"Animal products; horsehair and horsehair waste, whether or not put up as a layer with or without supporting material",0503
1992,050400,"Animal products; guts, bladders and stomachs of animals (other than fish), whole and pieces thereof",0504
1992,050510,"Animal products; feathers and down used for stuffing, not further worked than cleaned, disinfected or treated for preservation",0505
1992,050590,"Animal products; skins and other parts of birds, feathers and down (not for stuffing), powder and waste of such, not further worked than cleaned, disinfected or treated for preservation",0505
1992,050610,Animal products; ossein and bones treated with acid,0506
1992,050690,"Animal products; bones and horn-cores and powder or waste of such, unworked, defatted, simply prepared (not cut to shape), or treated with acid or degelatinised, n.e.s. in heading no. 0506",0506
1992,050710,"Animal products; ivory, unworked or simply prepared but not cut to shape, ivory powder and waste",0507
1992,050790,"Animal products; tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape, waste and powder of these products",0507
1992,050800,"Animal products;  coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone etc., unworked or simply prepared (but not cut to shape), and powder and waste thereof",0508
1992,050900,Animal products; natural sponges of animal origin,0509
1992,051000,"Animal products; ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved",0510
1992,051110,Animal products; bovine semen,0511
1992,051191,"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates and dead animals of chapter 3, unfit for human consumption",0511
1992,051199,Animal products; n.e.s. in chapter 5,0511
1992,060110,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",0601
1992,060120,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212",0601
