margen,rank,opportunity_hs4_code,opportunity_product_name,opportunity_sector,opportunity_priority_score,opportunity_accessible_market_busd,route,anchor_hs4_code,anchor_product_name,isic4_code,isic4_name,crosswalk_weight,crosswalk_weight_ec_mix,crosswalk_weight_used,export_value_allocated,anchor_to_candidate_proximity,anchor_density_percentile
extensivo,18,7013,Artículos de vidrio para decoración de interiores,Piedra,0.570271936657959,2.358418287,ancla,6910,"Fregaderos, lavabos y aparatos sanitarios similares de cerámica",2392,Manufacture of clay building materials,1.0,1.0,1.0,20275032.0,0.3350484424925159,4.225352112676056
extensivo,18,7013,Artículos de vidrio para decoración de interiores,Piedra,0.570271936657959,2.358418287,ancla,8303,Cajas de caudales,2599,Manufacture of other fabricated metal products n.e.c.,1.0,1.0,1.0,2207765.0,0.3634544881542094,0.0
extensivo,18,7013,Artículos de vidrio para decoración de interiores,Piedra,0.570271936657959,2.358418287,producto,,,2310,Manufacture of glass and glass products,1.0,,1.0,419494.0,,
extensivo,19,7210,"Productos laminados planos de hierro, ancho > 600 mm, revestidos",Metales,0.5677664743225955,6.017969467,ancla,7313,Alambre de púas de hierro o acero,2599,Manufacture of other fabricated metal products n.e.c.,1.0,,1.0,677052.0,0.3260756096957513,43.66197183098591
extensivo,19,7210,"Productos laminados planos de hierro, ancho > 600 mm, revestidos",Metales,0.5677664743225955,6.017969467,ancla,3605,Fósforos,2029,Manufacture of other chemical products n.e.c.,1.0,,1.0,463164.0,0.331422431925544,42.25352112676056
extensivo,19,7210,"Productos laminados planos de hierro, ancho > 600 mm, revestidos",Metales,0.5677664743225955,6.017969467,producto,,,2410,Manufacture of basic iron and steel,1.0,1.0,1.0,1097462.0,,
extensivo,20,8607,Partes de locomotoras o material rodante ferroviario,Vehículos,0.5675370065370264,1.259994286,ancla,8303,Cajas de caudales,2599,Manufacture of other fabricated metal products n.e.c.,1.0,1.0,1.0,2207765.0,0.361461790213878,0.0
extensivo,20,8607,Partes de locomotoras o material rodante ferroviario,Vehículos,0.5675370065370264,1.259994286,producto,,,2599,Manufacture of other fabricated metal products n.e.c.,0.5,,0.5,122564.0,,
extensivo,20,8607,Partes de locomotoras o material rodante ferroviario,Vehículos,0.5675370065370264,1.259994286,producto,,,3020,Manufacture of railway locomotives and rolling stock,0.5,,0.5,122564.0,,
extensivo,21,7317,Clavos y artículos similares de hierro o acero,Metales,0.5623710892407343,1.297085751,ancla,7903,Polvos de zinc,2420,Manufacture of basic precious and other non-ferrous metals,1.0,1.0,1.0,1622337.0,0.3090409105512939,26.76056338028169
extensivo,21,7317,Clavos y artículos similares de hierro o acero,Metales,0.5623710892407343,1.297085751,ancla,7313,Alambre de púas de hierro o acero,2599,Manufacture of other fabricated metal products n.e.c.,1.0,,1.0,677052.0,0.3262555242946779,43.66197183098591
extensivo,21,7317,Clavos y artículos similares de hierro o acero,Metales,0.5623710892407343,1.297085751,producto,,,2599,Manufacture of other fabricated metal products n.e.c.,1.0,,1.0,2238.0,,
extensivo,22,8516,Calentadores eléctricos,Electrónica,0.5489052132959132,17.9022014,ancla,8303,Cajas de caudales,2599,Manufacture of other fabricated metal products n.e.c.,1.0,1.0,1.0,2207765.0,0.3771287009171206,0.0
extensivo,22,8516,Calentadores eléctricos,Electrónica,0.5489052132959132,17.9022014,producto,,,2750,Manufacture of domestic appliances,1.0,1.0,1.0,2043225.0,,
extensivo,23,8436,Las demás máquinas agrícolas,Maquinaria,0.5439885441846665,0.607565178,ancla,3203,Materias colorantes de origen animal o vegetal,2011,Manufacture of basic chemicals,1.0,1.0,1.0,1213151.0,0.3218342649359502,2.8169014084507045
extensivo,23,8436,Las demás máquinas agrícolas,Maquinaria,0.5439885441846665,0.607565178,producto,,,2821,Manufacture of agricultural and forestry machinery,1.0,,1.0,626274.0,,
extensivo,24,3925,Artículos de plástico para construcción,Químicos,0.541803138896094,0.527891123,ancla,7604,Barras y perfiles de aluminio,2420,Manufacture of basic precious and other non-ferrous metals,1.0,1.0,1.0,59233983.0,0.4372461961236772,28.169014084507044
extensivo,24,3925,Artículos de plástico para construcción,Químicos,0.541803138896094,0.527891123,ancla,4421,Otros artículos de madera,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",1.0,1.0,1.0,55064729.0,0.4301701909224744,23.943661971830984
extensivo,24,3925,Artículos de plástico para construcción,Químicos,0.541803138896094,0.527891123,producto,,,2220,Manufacture of plastics products,1.0,,1.0,512332.0,,
extensivo,25,8512,Equipos eléctricos de alumbrado utilizados en vehículos automotores,Electrónica,0.535045308286451,3.292069176,ancla,8303,Cajas de caudales,2599,Manufacture of other fabricated metal products n.e.c.,1.0,1.0,1.0,2207765.0,0.3799442538754602,0.0
extensivo,25,8512,Equipos eléctricos de alumbrado utilizados en vehículos automotores,Electrónica,0.535045308286451,3.292069176,producto,,,2740,Manufacture of electric lighting equipment,0.9812843071210856,,0.9812843071210856,51190.65844958567,,
extensivo,25,8512,Equipos eléctricos de alumbrado utilizados en vehículos automotores,Electrónica,0.535045308286451,3.292069176,producto,,,2930,Manufacture of parts and accessories for motor vehicles,0.0187156928789144,,0.0187156928789144,976.3415504143275,,
extensivo,26,7019,Fibras de vidrio,Piedra,0.5274466040523214,0.930738205,ancla,7321,Estufas y aparatos similares no eléctricos de hierro o acero,2750,Manufacture of domestic appliances,1.0,1.0,1.0,77419911.0,0.3945800371742443,14.084507042253522
extensivo,26,7019,Fibras de vidrio,Piedra,0.5274466040523214,0.930738205,ancla,6807,Productos de asfalto,2399,Manufacture of other non-metallic mineral products n.e.c.,1.0,1.0,1.0,3973153.0,0.4092095395243569,7.042253521126761
extensivo,26,7019,Fibras de vidrio,Piedra,0.5274466040523214,0.930738205,producto,,,2310,Manufacture of glass and glass products,0.9260677815117558,0.9189741311431842,0.9189741311431842,935186.7709563021,,
extensivo,26,7019,Fibras de vidrio,Piedra,0.5274466040523214,0.930738205,producto,,,1312,Weaving of textiles,0.0739322184882441,0.0810258688568158,0.0810258688568158,74660.22904369785,,
extensivo,27,8433,Maquinaria de cosecha y otras máquinas agrícolas,Maquinaria,0.5230556212245432,1.8195525,ancla,3203,Materias colorantes de origen animal o vegetal,2011,Manufacture of basic chemicals,1.0,1.0,1.0,1213151.0,0.3233064534685401,2.8169014084507045
extensivo,27,8433,Maquinaria de cosecha y otras máquinas agrícolas,Maquinaria,0.5230556212245432,1.8195525,producto,,,2821,Manufacture of agricultural and forestry machinery,1.0,,1.0,91317.0,,
extensivo,28,2918,Ácidos carboxílicos con función oxigenada adicional,Químicos,0.4973518036020574,2.762727152,ancla,3203,Materias colorantes de origen animal o vegetal,2011,Manufacture of basic chemicals,1.0,1.0,1.0,1213151.0,0.3362087557477781,2.8169014084507045
extensivo,28,2918,Ácidos carboxílicos con función oxigenada adicional,Químicos,0.4973518036020574,2.762727152,producto,,,2011,Manufacture of basic chemicals,0.9557952829304428,,0.9557952829304428,127347.29611180341,,
extensivo,28,2918,Ácidos carboxílicos con función oxigenada adicional,Químicos,0.4973518036020574,2.762727152,producto,,,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",0.044204717069557,,0.044204717069557,5889.7038881965655,,
extensivo,29,6002,Los demás tejidos de punto,Textiles,0.4898347096688829,2.410424958,ancla,5211,Tejidos de algodón de < 85% weighing > 200 g/m2,1312,Weaving of textiles,1.0,1.0,1.0,9068149.0,0.3181675360262955,5.633802816901409
extensivo,29,6002,Los demás tejidos de punto,Textiles,0.4898347096688829,2.410424958,ancla,9606,Botones,3290,Other manufacturing n.e.c.,1.0,1.0,1.0,5409121.0,0.3442152905853731,1.4084507042253522
extensivo,29,6002,Los demás tejidos de punto,Textiles,0.4898347096688829,2.410424958,producto,,,1391,Manufacture of knitted and crocheted fabrics,1.0,,1.0,538556.0,,
extensivo,30,8452,Máquinas de coser,Maquinaria,0.4496710933655866,0.852359552,ancla,9606,Botones,3290,Other manufacturing n.e.c.,1.0,1.0,1.0,5409121.0,0.3333563640374514,1.4084507042253522
extensivo,30,8452,Máquinas de coser,Maquinaria,0.4496710933655866,0.852359552,producto,,,2826,"Manufacture of machinery for textile, apparel and leather production",1.0,,1.0,2295.0,,
intensivo,1,1504,Aceites de pescado,Agricultura,0.6507657881239659,0.942085537,producto,,,1040,Manufacture of vegetable and animal oils and fats,1.0,1.0,1.0,28386357.0,,
intensivo,2,4820,Cuadernos,Agricultura,0.6149572246082364,1.524071268,producto,,,1709,Manufacture of other articles of paper and paperboard,1.0,1.0,1.0,5566883.0,,
intensivo,3,3401,Jabón,Químicos,0.5899919941597787,0.854926066,producto,,,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",1.0,1.0,1.0,7345779.0,,
intensivo,4,2009,Jugos de fruta,Agricultura,0.5530109333766352,5.421680126,producto,,,1030,Processing and preserving of fruit and vegetables,1.0,1.0,1.0,27322021.0,,
intensivo,5,1704,Azúcar de confitería,Agricultura,0.5475162745265995,0.878009781,producto,,,1073,"Manufacture of cocoa, chocolate and sugar confectionery",1.0,1.0,1.0,40525820.0,,
intensivo,6,2309,Alimentos para animales,Agricultura,0.5414279224425144,2.254343093,producto,,,1080,Manufacture of prepared animal feeds,1.0,1.0,1.0,73053303.0,,
intensivo,7,0304,Filetes de pescado,Agricultura,0.5235072562445182,9.216426993,producto,,,1020,"Processing and preserving of fish, crustaceans and molluscs",1.0,1.0,1.0,131479538.0,,
intensivo,8,7306,"Otros tubos, caños y perfiles huecos de hierro o acero",Metales,0.5019313772902118,1.710389394,producto,,,2410,Manufacture of basic iron and steel,1.0,1.0,1.0,20897656.0,,
intensivo,9,6910,"Fregaderos, lavabos y aparatos sanitarios similares de cerámica",Piedra,0.5009108146164428,2.44149476,producto,,,2392,Manufacture of clay building materials,1.0,1.0,1.0,20275032.0,,
intensivo,10,4805,Los demás papeles y cartones sin estucar,Agricultura,0.4909637734691752,0.538348405,producto,,,1701,"Manufacture of pulp, paper and paperboard",1.0,1.0,1.0,18157132.0,,
intensivo,11,2005,"Las demás hortalizas, preparadas o conservadas",Agricultura,0.4897809742440998,0.507805725,producto,,,1030,Processing and preserving of fruit and vegetables,0.99408069510951,0.998943411703162,0.998943411703162,16622301.645520749,,
intensivo,11,2005,"Las demás hortalizas, preparadas o conservadas",Agricultura,0.4897809742440998,0.507805725,producto,,,1079,Manufacture of other food products n.e.c.,0.0059193048904898,0.0010565882968381,0.0010565882968381,98978.35447924929,,
intensivo,12,1513,Coco y aceite de palmiste,Agricultura,0.4875021350591389,1.905106585,producto,,,1040,Manufacture of vegetable and animal oils and fats,1.0,1.0,1.0,8044826.0,,
intensivo,13,1605,Invertebrados acuáticos preparados,Agricultura,0.4743217152127071,4.13794631,producto,,,1020,"Processing and preserving of fish, crustaceans and molluscs",0.7366682840207628,0.6562043455716633,0.6562043455716633,38940808.52781918,,
intensivo,13,1605,Invertebrados acuáticos preparados,Agricultura,0.4743217152127071,4.13794631,producto,,,1075,Manufacture of prepared meals and dishes,0.260072552808386,0.3437956544283367,0.3437956544283367,13747619.792963777,,
intensivo,13,1605,Invertebrados acuáticos preparados,Agricultura,0.4743217152127071,4.13794631,producto,,,0149,Raising of other animals,0.0032591631708511,0.0,0.0,172281.67921704045,,
intensivo,14,4407,Madera aserrada longitudinalmente,Agricultura,0.4626651123558516,1.119928929,producto,,,1610,Sawmilling and planing of wood,1.0,1.0,1.0,136685838.0,,
intensivo,15,0303,"Pescado congelado, excluidos los filetes",Agricultura,0.461650496618279,1.700761296,producto,,,1020,"Processing and preserving of fish, crustaceans and molluscs",1.0,1.0,1.0,100480876.0,,
intensivo,16,0511,Productos animales n.e.p.,Agricultura,0.460402413369848,1.199611234,producto,,,0141,Raising of cattle and buffaloes,0.7167711708758071,0.069474109442031,0.069474109442031,2579672.3458631057,,
intensivo,16,0511,Productos animales n.e.p.,Agricultura,0.460402413369848,1.199611234,producto,,,1020,"Processing and preserving of fish, crustaceans and molluscs",0.2624821274684156,0.8410587567297177,0.8410587567297177,944677.9014371221,,
intensivo,16,0511,Productos animales n.e.p.,Agricultura,0.460402413369848,1.199611234,producto,,,0142,Raising of horses and other equines,0.0161104816899756,0.069474109442031,0.069474109442031,57981.913590892604,,
intensivo,16,0511,Productos animales n.e.p.,Agricultura,0.460402413369848,1.199611234,producto,,,0311,Marine fishing,0.0011758782349988,0.0050708038878592,0.0050708038878592,4232.006933568911,,
intensivo,16,0511,Productos animales n.e.p.,Agricultura,0.460402413369848,1.199611234,producto,,,0144,Raising of sheep and goats,0.0011534472436009,0.0049740734994536,0.0049740734994536,4151.277391770024,,
intensivo,16,0511,Productos animales n.e.p.,Agricultura,0.460402413369848,1.199611234,producto,,,0145,Raising of swine/pigs,0.0011534472436009,0.0049740734994536,0.0049740734994536,4151.277391770024,,
intensivo,16,0511,Productos animales n.e.p.,Agricultura,0.460402413369848,1.199611234,producto,,,0149,Raising of other animals,0.0011534472436009,0.0049740734994536,0.0049740734994536,4151.277391770024,,
intensivo,17,5209,Tejidos de algodón de < 85% con peso > 200 g/m2,Textiles,0.4559971605859906,0.610665766,producto,,,1312,Weaving of textiles,1.0,1.0,1.0,11848013.0,,
intensivo,18,0904,Pimienta,Agricultura,0.4522369353903737,1.535894567,producto,,,1079,Manufacture of other food products n.e.c.,0.7430708304682585,0.5716595399411711,0.5716595399411711,4975472.243420127,,
intensivo,18,0904,Pimienta,Agricultura,0.4522369353903737,1.535894567,producto,,,0128,"Growing of spices, aromatic, drug and pharmaceutical crops",0.2569291695317415,0.4283404600588288,0.4283404600588288,1720352.756579873,,
intensivo,19,2401,Tabaco sin manufacturar,Agricultura,0.4401722097153781,1.651980761,producto,,,1200,Manufacture of tobacco products,0.8357076203009696,0.1447088686438254,0.1447088686438254,79748725.09950581,,
